{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5742559523809732, 'time': 0.2897499894549896, 'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.28744998945498956, 'rate': 2000.0, 'remaining_size': 0.0007440476190328504, 'transferred': 0.5750000000000061}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5742559523809732, 'time': 0.2897499894549896, 'flow_id': 'DATA_F4a_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.28744998945498956, 'rate': 2000.0, 'remaining_size': 0.0007440476190328504, 'transferred': 0.5750000000000061}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5742559523809732, 'time': 0.2897499894549896, 'flow_id': 'DATA_F4a_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.28744998945498956, 'rate': 2000.0, 'remaining_size': 0.0007440476190328504, 'transferred': 0.5750000000000061}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5742559523809732, 'time': 0.2897499894549896, 'flow_id': 'DATA_F4a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.28744998945498956, 'rate': 2000.0, 'remaining_size': 0.0007440476190328504, 'transferred': 0.5750000000000061}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7187500000000075, 'time': 0.2920499894549896, 'flow_id': 'DATA_F4a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.2897499894549896, 'rate': 2500.0, 'remaining_size': 0, 'transferred': 0.7187500000000075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7187500000000075, 'time': 0.2920499894549896, 'flow_id': 'DATA_F4a_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.2897499894549896, 'rate': 2500.0, 'remaining_size': 0, 'transferred': 0.7187500000000075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7187500000000075, 'time': 0.2920499894549896, 'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.2897499894549896, 'rate': 2500.0, 'remaining_size': 0, 'transferred': 0.7187500000000075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.9583333333333435, 'time': 0.29434998945498964, 'flow_id': 'DATA_F4a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.2920499894549896, 'rate': 3333.3333333333335, 'remaining_size': 0, 'transferred': 0.9583333333333435}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.9583333333333435, 'time': 0.29434998945498964, 'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.2920499894549896, 'rate': 3333.3333333333335, 'remaining_size': 0, 'transferred': 0.9583333333333435}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.437500000000015, 'time': 0.29664998945498966, 'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.29434998945498964, 'rate': 5000.0, 'remaining_size': 0, 'transferred': 1.437500000000015}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.3166666666668867, 'time': 0.41265527791652756, 'flow_id': 'DATA_F1b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.39640194458319405, 'rate': 10000.0, 'remaining_size': 20.0, 'transferred': 20.316666666666887}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.11166294642856744, 'time': 0.4931552779165277, 'flow_id': 'DATA_F2b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.4811552779165276, 'rate': 714.2857142857143, 'remaining_size': 0.95976562500001, 'transferred': 1.0714285714285774}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.02613636363635502, 'time': 0.5249213163730209, 'flow_id': 'DATA_F3b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.52241222546393, 'rate': 1000.0, 'remaining_size': 0.28750000000000814, 'transferred': 0.31363636363636316}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.10599747474745902, 'time': 0.5272213163730208, 'flow_id': 'DATA_F4b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.5249213163730209, 'rate': 1111.111111111111, 'remaining_size': 0.21344696969698107, 'transferred': 0.3194444444444401}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.03886148573645709, 'time': 0.5295213163730208, 'flow_id': 'DATA_F4b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.5272213163730208, 'rate': 1250.0, 'remaining_size': 0.320513514263538, 'transferred': 0.3593749999999951}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.24421862859360388, 'time': 0.5295213163730208, 'flow_id': 'DATA_F4b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.5272213163730208, 'rate': 1250.0, 'remaining_size': 0.11515637140639123, 'transferred': 0.3593749999999951}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.41071428571428015, 'time': 0.5318213163730208, 'flow_id': 'DATA_F4b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.5295213163730208, 'rate': 1428.5714285714287, 'remaining_size': 0, 'transferred': 0.41071428571428015}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.25790910478407125, 'time': 0.5318213163730208, 'flow_id': 'DATA_F4b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.5295213163730208, 'rate': 1428.5714285714287, 'remaining_size': 0.1528051809302089, 'transferred': 0.41071428571428015}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4791666666666602, 'time': 0.5341213163730207, 'flow_id': 'DATA_F4b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.5318213163730208, 'rate': 1666.6666666666667, 'remaining_size': 0, 'transferred': 0.4791666666666602}
