{'error': 'remaining_size less than 0', 'new_remaining_size': -3.593749999999994, 'time': 0.039999999999999994, 'flow_id': 'DATA_F1a_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.0369, 'rate': 12500.0, 'remaining_size': 1.249999999999993, 'transferred': 4.843749999999987}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.9791666666666652, 'time': 0.039999999999999994, 'flow_id': 'DATA_F1a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.0369, 'rate': 8333.333333333334, 'remaining_size': 1.249999999999993, 'transferred': 3.229166666666658}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.2499999999999925, 'time': 0.04039999999999999, 'flow_id': 'DATA_F1a_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.039999999999999994, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 1.2499999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4166666666666642, 'time': 0.04039999999999999, 'flow_id': 'DATA_F1a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.039999999999999994, 'rate': 8333.333333333334, 'remaining_size': 0, 'transferred': 0.4166666666666642}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.5937499999999947, 'time': 0.04269999999999999, 'flow_id': 'DATA_F1a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.04039999999999999, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 3.5937499999999947}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.0208333333333997, 'time': 0.04890000000000001, 'flow_id': 'DATA_F2a_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.044999999999999984, 'rate': 25000.0, 'remaining_size': 9.16666666666669, 'transferred': 12.187500000000089}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5468750000000133, 'time': 0.05120000000000001, 'flow_id': 'DATA_F2a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.04890000000000001, 'rate': 6250.0, 'remaining_size': 1.249999999999984, 'transferred': 1.7968749999999973}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.5468750000000133, 'time': 0.05120000000000001, 'flow_id': 'DATA_F2a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.04890000000000001, 'rate': 6250.0, 'remaining_size': 1.249999999999984, 'transferred': 1.7968749999999973}
{'error': 'remaining_size less than 0', 'new_remaining_size': -1.7968749999999973, 'time': 0.053500000000000006, 'flow_id': 'DATA_F2a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.05120000000000001, 'rate': 6250.0, 'remaining_size': 0, 'transferred': 1.7968749999999973}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.5937500000000027, 'time': 0.06400000000000002, 'flow_id': 'DATA_F3a_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.06090000000000001, 'rate': 12500.0, 'remaining_size': 1.2500000000000062, 'transferred': 4.843750000000009}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.3958333333333317, 'time': 0.069, 'flow_id': 'DATA_F3a_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.06400000000000002, 'rate': 8333.333333333334, 'remaining_size': 2.8124999999999925, 'transferred': 5.208333333333324}
