{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1432291666666075, 'time': 0.21815833333333332, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.2180666666666667, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1432291666666075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1432291666666075, 'time': 0.21815833333333332, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.2180666666666667, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1432291666666075}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.02604166666672, 'time': 0.21976666666666667, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.21815833333333332, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 5.02604166666672}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7291666666671581, 'time': 0.23015833333333333, 'flow_id': 'DATA_F8a_DP0_PP0_TP0_Rank0_Rank4', 'last_begin_time': 0.22849999999999995, 'rate': 100000.0, 'remaining_size': 20.0, 'transferred': 20.729166666667158}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.776041666666478, 'time': 0.23015833333333333, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.22860000000000016, 'rate': 25000.0, 'remaining_size': 1.0937499999996525, 'transferred': 4.8697916666661305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7291666666671581, 'time': 0.23015833333333333, 'flow_id': 'DATA_F8a_DP3_PP0_TP0_Rank3_Rank7', 'last_begin_time': 0.22849999999999995, 'rate': 100000.0, 'remaining_size': 20.0, 'transferred': 20.729166666667158}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.776041666666478, 'time': 0.23015833333333333, 'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.22860000000000016, 'rate': 25000.0, 'remaining_size': 1.0937499999996525, 'transferred': 4.8697916666661305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.776041666666478, 'time': 0.23015833333333333, 'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.22860000000000016, 'rate': 25000.0, 'remaining_size': 1.0937499999996525, 'transferred': 4.8697916666661305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7291666666671581, 'time': 0.23015833333333333, 'flow_id': 'DATA_F8a_DP1_PP0_TP0_Rank1_Rank5', 'last_begin_time': 0.22849999999999995, 'rate': 100000.0, 'remaining_size': 20.0, 'transferred': 20.729166666667158}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.7291666666671581, 'time': 0.23015833333333333, 'flow_id': 'DATA_F8a_DP2_PP0_TP0_Rank2_Rank6', 'last_begin_time': 0.22849999999999995, 'rate': 100000.0, 'remaining_size': 20.0, 'transferred': 20.729166666667158}
{'error': 'remaining_size less than 0', 'new_remaining_size': -3.776041666666478, 'time': 0.23015833333333333, 'flow_id': 'DATA_B1a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.22860000000000016, 'rate': 25000.0, 'remaining_size': 1.0937499999996525, 'transferred': 4.8697916666661305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.3124999999999656, 'time': 0.23025833333333331, 'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.23015833333333333, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 0.3124999999999656}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.3124999999999656, 'time': 0.23025833333333331, 'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.23015833333333333, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 0.3124999999999656}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.3124999999999656, 'time': 0.23025833333333331, 'flow_id': 'DATA_B1a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.23015833333333333, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 0.3124999999999656}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.3124999999999656, 'time': 0.23025833333333331, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.23015833333333333, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 0.3124999999999656}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.713541666666755, 'time': 0.23176666666666668, 'flow_id': 'DATA_B1a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.23025833333333331, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 4.713541666666755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.713541666666755, 'time': 0.23176666666666668, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.23025833333333331, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 4.713541666666755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.713541666666755, 'time': 0.23176666666666668, 'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.23025833333333331, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 4.713541666666755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.713541666666755, 'time': 0.23176666666666668, 'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.23025833333333331, 'rate': 25000.0, 'remaining_size': 0, 'transferred': 4.713541666666755}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1953124999999351, 'time': 0.23189166666666663, 'flow_id': 'DATA_B1a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.23176666666666668, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1953124999999351}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1953124999999351, 'time': 0.23189166666666663, 'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.23176666666666668, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1953124999999351}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1953124999999351, 'time': 0.23189166666666663, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.23176666666666668, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1953124999999351}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.1953124999999351, 'time': 0.23189166666666663, 'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.23176666666666668, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 0.1953124999999351}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.9036458333332305, 'time': 0.2337499999999999, 'flow_id': 'DATA_B1a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.23189166666666663, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 2.9036458333332305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.9036458333332305, 'time': 0.2337499999999999, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.23189166666666663, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 2.9036458333332305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.9036458333332305, 'time': 0.2337499999999999, 'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.23189166666666663, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 2.9036458333332305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.9036458333332305, 'time': 0.2337499999999999, 'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.23189166666666663, 'rate': 12500.0, 'remaining_size': 0, 'transferred': 2.9036458333332305}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.68576388888878, 'time': 0.24874166666666656, 'flow_id': 'DATA_F6b_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.24389166666666665, 'rate': 6250.0, 'remaining_size': 3.10329861111115, 'transferred': 3.78906249999993}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.68576388888878, 'time': 0.24874166666666656, 'flow_id': 'DATA_F6b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.24389166666666665, 'rate': 6250.0, 'remaining_size': 3.10329861111115, 'transferred': 3.78906249999993}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.68576388888878, 'time': 0.24874166666666656, 'flow_id': 'DATA_F6b_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.24389166666666665, 'rate': 6250.0, 'remaining_size': 3.10329861111115, 'transferred': 3.78906249999993}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.68576388888878, 'time': 0.24874166666666656, 'flow_id': 'DATA_F6b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.24389166666666665, 'rate': 6250.0, 'remaining_size': 3.10329861111115, 'transferred': 3.78906249999993}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.09548611111115868, 'time': 0.2676137962962963, 'flow_id': 'DATA_F7b_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.2619708333333333, 'rate': 6250.0, 'remaining_size': 4.313078703703654, 'transferred': 4.408564814814813}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.09548611111115868, 'time': 0.2676137962962963, 'flow_id': 'DATA_F7b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.2619708333333333, 'rate': 6250.0, 'remaining_size': 4.313078703703654, 'transferred': 4.408564814814813}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.09548611111115868, 'time': 0.2676137962962963, 'flow_id': 'DATA_F7b_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.2619708333333333, 'rate': 6250.0, 'remaining_size': 4.313078703703654, 'transferred': 4.408564814814813}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.09548611111115868, 'time': 0.2676137962962963, 'flow_id': 'DATA_F7b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.2619708333333333, 'rate': 6250.0, 'remaining_size': 4.313078703703654, 'transferred': 4.408564814814813}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.07436342592621, 'time': 0.2836137962962963, 'flow_id': 'DATA_B1a_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.2819137962962963, 'rate': 25000.0, 'remaining_size': 3.2381365740737253, 'transferred': 5.312499999999935}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.07436342592621, 'time': 0.2836137962962963, 'flow_id': 'DATA_B1a_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.2819137962962963, 'rate': 25000.0, 'remaining_size': 3.2381365740737253, 'transferred': 5.312499999999935}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.07436342592621, 'time': 0.2836137962962963, 'flow_id': 'DATA_B1a_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.2819137962962963, 'rate': 25000.0, 'remaining_size': 3.2381365740737253, 'transferred': 5.312499999999935}
{'error': 'remaining_size less than 0', 'new_remaining_size': -2.07436342592621, 'time': 0.2836137962962963, 'flow_id': 'DATA_B1a_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.2819137962962963, 'rate': 25000.0, 'remaining_size': 3.2381365740737253, 'transferred': 5.312499999999935}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4084683641983551, 'time': 0.3119443518518518, 'flow_id': 'DATA_F8b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.3066137962962963, 'rate': 8333.333333333334, 'remaining_size': 5.14419367283863, 'transferred': 5.552662037036985}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4084683641983551, 'time': 0.3119443518518518, 'flow_id': 'DATA_F8b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.3066137962962963, 'rate': 8333.333333333334, 'remaining_size': 5.14419367283863, 'transferred': 5.552662037036985}
{'error': 'remaining_size less than 0', 'new_remaining_size': -0.4084683641983551, 'time': 0.3119443518518518, 'flow_id': 'DATA_F8b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.3066137962962963, 'rate': 8333.333333333334, 'remaining_size': 5.14419367283863, 'transferred': 5.552662037036985}
