{'flow_id': 'DATA_F1a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F1a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F1a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F1a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.012, 'end_time': 0.0129, 'time': 0.8999999999999998}
{'flow_id': 'DATA_F2a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.024, 'end_time': 0.0249, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F3a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F3a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F3a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.036000000000000004, 'end_time': 0.03690000000000001, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F4a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.048, 'end_time': 0.048900000000000006, 'time': 0.900000000000005}
{'flow_id': 'DATA_F1a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.0249, 'end_time': 0.05119999999999999, 'time': 26.29999999999999}
{'flow_id': 'DATA_F1a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.06319999999999999, 'end_time': 0.06409999999999999, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.07609999999999999, 'end_time': 0.09439999999999998, 'time': 18.299999999999997}
{'flow_id': 'DATA_F1b_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.10639999999999998, 'end_time': 0.10729999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.0249, 'end_time': 0.12687142857142852, 'time': 101.97142857142852}
{'flow_id': 'DATA_F1a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.0249, 'end_time': 0.12687142857142852, 'time': 101.97142857142852}
{'flow_id': 'DATA_F1a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.0249, 'end_time': 0.12687142857142852, 'time': 101.97142857142852}
{'flow_id': 'DATA_F2a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.0369, 'end_time': 0.12700499999999998, 'time': 90.10499999999998}
{'flow_id': 'DATA_F2a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.0369, 'end_time': 0.12700499999999998, 'time': 90.10499999999998}
{'flow_id': 'DATA_F1a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.13887142857142853, 'end_time': 0.13977142857142852, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.13887142857142853, 'end_time': 0.13977142857142852, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.13887142857142853, 'end_time': 0.13977142857142852, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.139005, 'end_time': 0.13990499999999997, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.04890000000000001, 'end_time': 0.14766214285714285, 'time': 98.76214285714283}
{'flow_id': 'DATA_F3a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.04890000000000001, 'end_time': 0.14766214285714285, 'time': 98.76214285714283}
{'flow_id': 'DATA_F2a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.0369, 'end_time': 0.1516380952380952, 'time': 114.73809523809521}
{'flow_id': 'DATA_F2a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.0369, 'end_time': 0.1516380952380952, 'time': 114.73809523809521}
{'flow_id': 'DATA_F2a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.15087142857142855, 'end_time': 0.15177142857142853, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.06090000000000001, 'end_time': 0.15723714285714285, 'time': 96.33714285714284}
{'flow_id': 'DATA_F4a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.06090000000000001, 'end_time': 0.15723714285714285, 'time': 96.33714285714284}
{'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.06090000000000001, 'end_time': 0.15723714285714285, 'time': 96.33714285714284}
{'flow_id': 'DATA_F3a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.15966214285714286, 'end_time': 0.16056214285714285, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.15966214285714286, 'end_time': 0.16056214285714285, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.04890000000000001, 'end_time': 0.16200476190476187, 'time': 113.10476190476186}
{'flow_id': 'DATA_F3a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.04890000000000001, 'end_time': 0.16200476190476187, 'time': 113.10476190476186}
{'flow_id': 'DATA_F2a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.16363809523809522, 'end_time': 0.1645380952380952, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.06090000000000001, 'end_time': 0.1665833333333333, 'time': 105.6833333333333}
{'flow_id': 'DATA_F4a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.16923714285714286, 'end_time': 0.17013714285714285, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.17166214285714287, 'end_time': 0.17256214285714286, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.17166214285714287, 'end_time': 0.17256214285714286, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1b_DP1_PP3_TP0_Rank13_Rank1', 'start_time': 0.15177142857142853, 'end_time': 0.17407142857142852, 'time': 22.299999999999986}
{'flow_id': 'DATA_F1b_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.11929999999999998, 'end_time': 0.1750333333333333, 'time': 55.73333333333331}
{'flow_id': 'DATA_F3a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.17563809523809523, 'end_time': 0.17653809523809522, 'time': 0.8999999999999841}
