flow_id,path_latency(ms),bandwidth(Gbps),flow_size(MB),standard_time(ms)
DATA4_F999_DP4_PP1_TP0_Rank5_Rank6,0.1,200,7000.0,280.1
DATA5_F999_DP4_PP1_TP0_Rank5_Rank6,0.1,200,7000.0,280.1
DATA_F1a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F2a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F3a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F4a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F1b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F2b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F3b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F4b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_F5a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B1b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F6a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B2b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F7a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B3b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F8a_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B4b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F5b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B1a_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F6b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B2a_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F7b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B3a_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_F8b_DP2_PP1_TP0_Rank6_Rank10,2.2999999999999994,25,20.0,8.7
DATA_B4a_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_B5b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_B6b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
DATA_B7b_DP2_PP1_TP0_Rank6_Rank2,0.1,200,20.0,0.9
