{'flow_id': 'DATA_F2a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.09919999999999998, 'end_time': 0.10009999999999998, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.04890000000000001, 'end_time': 0.10035, 'time': 51.44999999999998}
{'flow_id': 'DATA_F4a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.06090000000000001, 'end_time': 0.10073333333333334, 'time': 39.83333333333333}
{'flow_id': 'DATA_F1b_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.10239999999999999, 'end_time': 0.10329999999999999, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.06090000000000001, 'end_time': 0.1055, 'time': 44.59999999999999}
{'flow_id': 'DATA_F3a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.10719999999999998, 'end_time': 0.10809999999999997, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.10834999999999997, 'end_time': 0.10924999999999997, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.11111666666666666, 'end_time': 0.11201666666666665, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.11234999999999999, 'end_time': 0.11324999999999999, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1b_DP1_PP3_TP0_Rank13_Rank1', 'start_time': 0.09609999999999998, 'end_time': 0.11724999999999998, 'time': 21.150000000000002}
{'flow_id': 'DATA_F1b_DP2_PP3_TP0_Rank14_Rank2', 'start_time': 0.09609999999999998, 'end_time': 0.11839999999999998, 'time': 22.3}
{'flow_id': 'DATA_F4a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.11919999999999997, 'end_time': 0.12009999999999997, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.12034999999999997, 'end_time': 0.12124999999999997, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.12311666666666665, 'end_time': 0.12401666666666665, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.12434999999999999, 'end_time': 0.12524999999999997, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1b_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.1113, 'end_time': 0.1296, 'time': 18.299999999999997}
{'flow_id': 'DATA_F1b_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.12924999999999998, 'end_time': 0.13014999999999996, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1b_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.1304, 'end_time': 0.13129999999999997, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP3_PP3_TP0_Rank15_Rank3', 'start_time': 0.11209999999999998, 'end_time': 0.13324999999999995, 'time': 21.149999999999974}
{'flow_id': 'DATA_F1b_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.11529999999999999, 'end_time': 0.13359999999999997, 'time': 18.299999999999983}
{'flow_id': 'DATA_F3b_DP1_PP3_TP0_Rank13_Rank1', 'start_time': 0.11201666666666665, 'end_time': 0.13431666666666664, 'time': 22.299999999999986}
{'flow_id': 'DATA_F2b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.10924999999999997, 'end_time': 0.14154999999999998, 'time': 32.30000000000001}
{'flow_id': 'DATA_F1b_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.1416, 'end_time': 0.1425, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP2_PP3_TP0_Rank14_Rank2', 'start_time': 0.10809999999999997, 'end_time': 0.14267222222222217, 'time': 34.5722222222222}
{'flow_id': 'DATA_F2b_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.14524999999999996, 'end_time': 0.14614999999999995, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1b_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.14559999999999998, 'end_time': 0.14649999999999996, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.14631666666666665, 'end_time': 0.14721666666666663, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP3_PP3_TP0_Rank15_Rank3', 'start_time': 0.12525, 'end_time': 0.14755, 'time': 22.299999999999986}
{'flow_id': 'DATA_F2b_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.15355, 'end_time': 0.15444999999999998, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.15467222222222218, 'end_time': 0.15557222222222217, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.12124999999999997, 'end_time': 0.15831666666666663, 'time': 37.06666666666666}
{'flow_id': 'DATA_F2b_DP1_PP3_TP0_Rank13_Rank1', 'start_time': 0.12401666666666665, 'end_time': 0.15905555555555553, 'time': 35.038888888888884}
{'flow_id': 'DATA_F3b_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.15955, 'end_time': 0.16044999999999998, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP2_PP3_TP0_Rank14_Rank2', 'start_time': 0.12009999999999997, 'end_time': 0.16379722222222218, 'time': 43.69722222222221}
{'flow_id': 'DATA_F4b_DP2_PP3_TP0_Rank14_Rank2', 'start_time': 0.13209999999999997, 'end_time': 0.16424722222222218, 'time': 32.14722222222222}
{'flow_id': 'DATA_F4b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.13324999999999998, 'end_time': 0.16546666666666665, 'time': 32.21666666666667}
{'flow_id': 'DATA_F3b_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.17031666666666664, 'end_time': 0.17121666666666663, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.17105555555555554, 'end_time': 0.17195555555555553, 'time': 0.8999999999999841}
{'flow_id': 'DATA_B1b_DP0_PP3_TP0_Rank12_Rank8', 'start_time': 0.1735, 'end_time': 0.17519999999999997, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F3b_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.1757972222222222, 'end_time': 0.17669722222222217, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.15814999999999996, 'end_time': 0.17814999999999992, 'time': 19.99999999999996}
{'flow_id': 'DATA_F1b_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.14214999999999997, 'end_time': 0.17857499999999996, 'time': 36.42499999999998}
{'flow_id': 'DATA_B1b_DP3_PP3_TP0_Rank15_Rank11', 'start_time': 0.17749999999999996, 'end_time': 0.1794166666666666, 'time': 1.9166666666666499}
{'flow_id': 'DATA_F4b_DP1_PP3_TP0_Rank13_Rank1', 'start_time': 0.13601666666666665, 'end_time': 0.18048055555555553, 'time': 44.46388888888889}
{'flow_id': 'DATA_F4b_DP3_PP3_TP0_Rank15_Rank3', 'start_time': 0.13725, 'end_time': 0.18130277777777776, 'time': 44.05277777777775}
{'flow_id': 'DATA_F1b_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.14329999999999998, 'end_time': 0.18164166666666665, 'time': 38.34166666666666}
{'flow_id': 'DATA_F4b_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.18231666666666665, 'end_time': 0.18321666666666664, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.15921666666666665, 'end_time': 0.1851611111111111, 'time': 25.944444444444464}
{'flow_id': 'DATA_F4b_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.1877972222222222, 'end_time': 0.18869722222222218, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.19014999999999993, 'end_time': 0.19104999999999991, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F1b_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.19057499999999997, 'end_time': 0.19147499999999995, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4b_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.19248055555555554, 'end_time': 0.19338055555555553, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4b_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.19330277777777777, 'end_time': 0.19420277777777775, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.16645, 'end_time': 0.19436666666666666, 'time': 27.91666666666667}
{'flow_id': 'DATA_F1b_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.19364166666666666, 'end_time': 0.19454166666666664, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.16757222222222218, 'end_time': 0.19466666666666663, 'time': 27.09444444444445}
{'flow_id': 'DATA_F5a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.19431666666666667, 'end_time': 0.19601666666666664, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F3b_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.17245, 'end_time': 0.19620277777777773, 'time': 23.752777777777734}
{'flow_id': 'DATA_F5a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.1997972222222222, 'end_time': 0.2006972222222222, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.20257499999999998, 'end_time': 0.20347499999999996, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F5a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.20448055555555555, 'end_time': 0.20538055555555554, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F5a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.20530277777777778, 'end_time': 0.20620277777777776, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.20666666666666664, 'end_time': 0.20756666666666662, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F6a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.20631666666666668, 'end_time': 0.20801666666666666, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F2b_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.20636666666666667, 'end_time': 0.20806666666666665, 'time': 1.6999999999999793}
{'flow_id': 'DATA_B1b_DP0_PP2_TP0_Rank8_Rank4', 'start_time': 0.19419999999999996, 'end_time': 0.21249999999999997, 'time': 18.30000000000001}
{'flow_id': 'DATA_F6a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.21179722222222222, 'end_time': 0.2126972222222222, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.18869722222222218, 'end_time': 0.21381944444444437, 'time': 25.122222222222184}
{'flow_id': 'DATA_F4b_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.19521666666666665, 'end_time': 0.21671666666666664, 'time': 21.499999999999993}
{'flow_id': 'DATA_F3b_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.18321666666666664, 'end_time': 0.21677777777777774, 'time': 33.561111111111096}
{'flow_id': 'DATA_F6a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.21648055555555556, 'end_time': 0.21738055555555555, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F2b_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.18395555555555554, 'end_time': 0.21825555555555554, 'time': 34.3}
{'flow_id': 'DATA_F6a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.2173027777777778, 'end_time': 0.21900277777777777, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F7a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.2183166666666667, 'end_time': 0.21921666666666667, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F3b_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.22114999999999993, 'end_time': 0.2228499999999999, 'time': 1.6999999999999793}
{'flow_id': 'DATA_B2b_DP3_PP3_TP0_Rank15_Rank11', 'start_time': 0.22204999999999991, 'end_time': 0.22454999999999992, 'time': 2.500000000000002}
{'flow_id': 'DATA_F7a_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.22379722222222223, 'end_time': 0.22469722222222221, 'time': 0.8999999999999841}
{'flow_id': 'DATA_B1b_DP1_PP3_TP0_Rank13_Rank9', 'start_time': 0.22247499999999995, 'end_time': 0.22497499999999995, 'time': 2.500000000000002}
{'flow_id': 'DATA_F3b_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.22581944444444438, 'end_time': 0.22671944444444436, 'time': 0.8999999999999841}
{'flow_id': 'DATA_B1b_DP3_PP2_TP0_Rank11_Rank7', 'start_time': 0.20914999999999992, 'end_time': 0.22744999999999993, 'time': 18.30000000000001}
{'flow_id': 'DATA_B1b_DP2_PP3_TP0_Rank14_Rank10', 'start_time': 0.22554166666666664, 'end_time': 0.22884166666666664, 'time': 3.299999999999997}
{'flow_id': 'DATA_F7a_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.22848055555555558, 'end_time': 0.22938055555555556, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4b_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.22871666666666665, 'end_time': 0.22961666666666664, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F7a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.2293027777777778, 'end_time': 0.23020277777777778, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F5a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.20801666666666666, 'end_time': 0.23066666666666663, 'time': 22.649999999999977}
{'flow_id': 'DATA_F2b_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.23025555555555555, 'end_time': 0.23115555555555553, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4b_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.2006972222222222, 'end_time': 0.23842499999999994, 'time': 37.727777777777746}
{'flow_id': 'DATA_F5a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.21820277777777777, 'end_time': 0.24013472222222218, 'time': 21.931944444444408}
{'flow_id': 'DATA_B1b_DP0_PP1_TP0_Rank4_Rank0', 'start_time': 0.23901666666666666, 'end_time': 0.24071666666666663, 'time': 1.6999999999999793}
{'flow_id': 'DATA_B2b_DP0_PP3_TP0_Rank12_Rank8', 'start_time': 0.23906666666666665, 'end_time': 0.24076666666666663, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F3b_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.24071666666666666, 'end_time': 0.24161666666666665, 'time': 0.8999999999999841}
{'flow_id': 'DATA_F4b_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.20538055555555554, 'end_time': 0.24836203703703688, 'time': 42.981481481481346}
{'flow_id': 'DATA_B1b_DP3_PP1_TP0_Rank7_Rank3', 'start_time': 0.2500027777777778, 'end_time': 0.2525027777777778, 'time': 2.500000000000002}
{'flow_id': 'DATA_F5a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.25271666666666665, 'end_time': 0.25361666666666666, 'time': 0.9000000000000119}
{'flow_id': 'DATA_F4b_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.20620277777777776, 'end_time': 0.25551666666666667, 'time': 49.313888888888904}
{'flow_id': 'DATA_B3b_DP3_PP3_TP0_Rank15_Rank11', 'start_time': 0.2538499999999999, 'end_time': 0.2561055555555555, 'time': 2.255555555555566}
{'flow_id': 'DATA_B3b_DP1_PP3_TP0_Rank13_Rank9', 'start_time': 0.25347499999999995, 'end_time': 0.2567749999999999, 'time': 3.2999999999999696}
{'flow_id': 'DATA_F5a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.2555499999999999, 'end_time': 0.25724999999999987, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F7a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.24138055555555557, 'end_time': 0.2596805555555556, 'time': 18.30000000000001}
{'flow_id': 'DATA_B2b_DP2_PP3_TP0_Rank14_Rank10', 'start_time': 0.25654166666666667, 'end_time': 0.25984166666666664, 'time': 3.2999999999999696}
{'flow_id': 'DATA_F4b_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.25984166666666664, 'end_time': 0.2615416666666666, 'time': 1.6999999999999793}
{'flow_id': 'DATA_B2b_DP3_PP2_TP0_Rank11_Rank7', 'start_time': 0.2435499999999999, 'end_time': 0.2618499999999999, 'time': 18.30000000000001}
{'flow_id': 'DATA_F4b_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.2612555555555555, 'end_time': 0.2629555555555555, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F5a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.2126972222222222, 'end_time': 0.2631583333333333, 'time': 50.46111111111112}
{'flow_id': 'DATA_B1b_DP2_PP2_TP0_Rank10_Rank6', 'start_time': 0.24784166666666663, 'end_time': 0.26614166666666667, 'time': 18.30000000000004}
{'flow_id': 'DATA_B1b_DP1_PP2_TP0_Rank9_Rank5', 'start_time': 0.24925555555555554, 'end_time': 0.26755555555555555, 'time': 18.30000000000001}
{'flow_id': 'DATA_F4b_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.2675499999999999, 'end_time': 0.2684499999999999, 'time': 0.9000000000000119}
{'flow_id': 'DATA_B4b_DP0_PP3_TP0_Rank12_Rank8', 'start_time': 0.2700666666666667, 'end_time': 0.2725666666666667, 'time': 2.500000000000002}
{'flow_id': 'DATA_F6a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.23100277777777778, 'end_time': 0.27301458333333334, 'time': 42.01180555555556}
{'flow_id': 'DATA_F8a_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.27171666666666666, 'end_time': 0.27341666666666664, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F5a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.21738055555555555, 'end_time': 0.27493734567901235, 'time': 57.5567901234568}
{'flow_id': 'DATA_F6a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.22938055555555556, 'end_time': 0.2750472222222223, 'time': 45.666666666666714}
{'flow_id': 'DATA_F6a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.22001666666666667, 'end_time': 0.279466512345679, 'time': 59.44984567901232}
{'flow_id': 'DATA_F7a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.23669722222222223, 'end_time': 0.28193420138888886, 'time': 45.236979166666636}
{'flow_id': 'DATA_B2b_DP3_PP1_TP0_Rank7_Rank3', 'start_time': 0.2810027777777778, 'end_time': 0.2827027777777778, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F6a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.22469722222222221, 'end_time': 0.283353549382716, 'time': 58.656327160493795}
{'flow_id': 'DATA_F8a_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.2835027777777778, 'end_time': 0.2852027777777778, 'time': 1.6999999999999793}
{'flow_id': 'DATA_B2b_DP1_PP3_TP0_Rank13_Rank9', 'start_time': 0.284475, 'end_time': 0.285375, 'time': 0.9000000000000119}
{'flow_id': 'DATA_B1b_DP2_PP1_TP0_Rank6_Rank2', 'start_time': 0.2851416666666667, 'end_time': 0.2860416666666667, 'time': 0.9000000000000119}
{'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'start_time': 0.25971666666666665, 'end_time': 0.2862555555555556, 'time': 26.538888888888945}
{'flow_id': 'DATA_B1b_DP1_PP1_TP0_Rank5_Rank1', 'start_time': 0.28655555555555556, 'end_time': 0.2874555555555556, 'time': 0.9000000000000119}
{'flow_id': 'DATA_F5b_DP3_PP3_TP0_Rank15_Rank3', 'start_time': 0.2692499999999999, 'end_time': 0.2875499999999999, 'time': 18.30000000000004}
{'flow_id': 'DATA_B3b_DP2_PP3_TP0_Rank14_Rank10', 'start_time': 0.2875416666666667, 'end_time': 0.2884416666666667, 'time': 0.9000000000000119}
{'flow_id': 'DATA_B2b_DP0_PP2_TP0_Rank8_Rank4', 'start_time': 0.27171666666666666, 'end_time': 0.2900166666666667, 'time': 18.30000000000004}
{'flow_id': 'DATA_F5a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.29084166666666667, 'end_time': 0.29254166666666664, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F7a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.29225555555555555, 'end_time': 0.2939555555555555, 'time': 1.6999999999999793}
{'flow_id': 'DATA_F7a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.25101666666666667, 'end_time': 0.29587447916666665, 'time': 44.85781249999998}
