{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.17409999999999995, 'flow_id': 'DATA_B3b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.17179999999999995, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.17409999999999995, 'flow_id': 'DATA_B3b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.17179999999999995, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.17409999999999995, 'flow_id': 'DATA_B3b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.17179999999999995, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17579999999999993, 'flow_id': 'DATA_B3b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.17409999999999995, 'rate': 100000.0, 'remaining_size': 0.0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17579999999999993, 'flow_id': 'DATA_B3b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.17409999999999995, 'rate': 100000.0, 'remaining_size': 0.0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17579999999999993, 'flow_id': 'DATA_B3b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.17409999999999995, 'rate': 100000.0, 'remaining_size': 0.0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.17579999999999993, 'flow_id': 'DATA_B3b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.17409999999999995, 'rate': 100000.0, 'remaining_size': 0.0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -42.499999999997975, 'time': 0.18339999999999992, 'flow_id': 'DATA_F7b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.1809, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 62.499999999997975}
{'error': 'remaining_size less than 0', 'new_remaining_size': -42.499999999997975, 'time': 0.18339999999999992, 'flow_id': 'DATA_F7b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.1809, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 62.499999999997975}
{'error': 'remaining_size less than 0', 'new_remaining_size': -42.499999999997975, 'time': 0.18339999999999992, 'flow_id': 'DATA_F7b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.1809, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 62.499999999997975}
{'error': 'remaining_size less than 0', 'new_remaining_size': -42.499999999997975, 'time': 0.18339999999999992, 'flow_id': 'DATA_F7b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.1809, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 62.499999999997975}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.000000000000143, 'time': 0.18379999999999994, 'flow_id': 'DATA_F7b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.18339999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.000000000000143}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.000000000000143, 'time': 0.18379999999999994, 'flow_id': 'DATA_F7b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.18339999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.000000000000143}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.000000000000143, 'time': 0.18379999999999994, 'flow_id': 'DATA_F7b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.18339999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.000000000000143}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.000000000000143, 'time': 0.18379999999999994, 'flow_id': 'DATA_F7b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.18339999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.000000000000143}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.2499999999996, 'time': 0.1850999999999999, 'flow_id': 'DATA_F7b_DP3_PP3_TP0_Rank15_Rank3', 'last_begin_time': 0.18379999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.2499999999996}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.2499999999996, 'time': 0.1850999999999999, 'flow_id': 'DATA_F7b_DP0_PP3_TP0_Rank12_Rank0', 'last_begin_time': 0.18379999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.2499999999996}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.2499999999996, 'time': 0.1850999999999999, 'flow_id': 'DATA_F7b_DP2_PP3_TP0_Rank14_Rank2', 'last_begin_time': 0.18379999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.2499999999996}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.2499999999996, 'time': 0.1850999999999999, 'flow_id': 'DATA_F7b_DP1_PP3_TP0_Rank13_Rank1', 'last_begin_time': 0.18379999999999994, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.2499999999996}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.500000000000604, 'time': 0.18609999999999996, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.18379999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.500000000000604}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.500000000000604, 'time': 0.18609999999999996, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.18379999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.500000000000604}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.500000000000604, 'time': 0.18609999999999996, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.18379999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.500000000000604}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.500000000000604, 'time': 0.18609999999999996, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.18379999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.500000000000604}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.24999999999925, 'time': 0.1873999999999999, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.18609999999999996, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.24999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.24999999999925, 'time': 0.1873999999999999, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.18609999999999996, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.24999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.24999999999925, 'time': 0.1873999999999999, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.18609999999999996, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.24999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.24999999999925, 'time': 0.1873999999999999, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.18609999999999996, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.24999999999925}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.00000000000049, 'time': 0.18779999999999994, 'flow_id': 'DATA_B4b_DP0_PP2_TP0_Rank8_Rank4', 'last_begin_time': 0.1873999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.00000000000049}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.00000000000049, 'time': 0.18779999999999994, 'flow_id': 'DATA_B4b_DP3_PP2_TP0_Rank11_Rank7', 'last_begin_time': 0.1873999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.00000000000049}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.00000000000049, 'time': 0.18779999999999994, 'flow_id': 'DATA_B4b_DP2_PP2_TP0_Rank10_Rank6', 'last_begin_time': 0.1873999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.00000000000049}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.00000000000049, 'time': 0.18779999999999994, 'flow_id': 'DATA_B4b_DP1_PP2_TP0_Rank9_Rank5', 'last_begin_time': 0.1873999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 5.00000000000049}
{'error': 'remaining_size less than 0', 'new_remaining_size': -49.99999999999923, 'time': 0.1905999999999999, 'flow_id': 'DATA_F5b_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.18779999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 69.99999999999923}
{'error': 'remaining_size less than 0', 'new_remaining_size': -49.99999999999923, 'time': 0.1905999999999999, 'flow_id': 'DATA_F5b_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.18779999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 69.99999999999923}
{'error': 'remaining_size less than 0', 'new_remaining_size': -49.99999999999923, 'time': 0.1905999999999999, 'flow_id': 'DATA_F5b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.18779999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 69.99999999999923}
{'error': 'remaining_size less than 0', 'new_remaining_size': -49.99999999999923, 'time': 0.1905999999999999, 'flow_id': 'DATA_F5b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.18779999999999994, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 69.99999999999923}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.1928999999999999, 'flow_id': 'DATA_B1a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.1905999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.1928999999999999, 'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.1905999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.1928999999999999, 'flow_id': 'DATA_B1a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.1905999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -37.499999999999915, 'time': 0.1928999999999999, 'flow_id': 'DATA_B1a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.1905999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 57.499999999999915}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.719869022868806e-13, 'time': 0.20489999999999992, 'flow_id': 'DATA_B2a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.2040999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 20.000000000000572}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.719869022868806e-13, 'time': 0.20489999999999992, 'flow_id': 'DATA_B2a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.2040999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 20.000000000000572}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.719869022868806e-13, 'time': 0.20489999999999992, 'flow_id': 'DATA_B2a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.2040999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 20.000000000000572}
{'error': 'remaining_size less than 0', 'new_remaining_size': -5.719869022868806e-13, 'time': 0.20489999999999992, 'flow_id': 'DATA_B2a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.2040999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 20.000000000000572}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.2065999999999999, 'flow_id': 'DATA_B2a_DP0_PP0_TP0_Rank0_Rank12', 'last_begin_time': 0.20489999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.2065999999999999, 'flow_id': 'DATA_B2a_DP2_PP0_TP0_Rank2_Rank14', 'last_begin_time': 0.20489999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.2065999999999999, 'flow_id': 'DATA_B2a_DP1_PP0_TP0_Rank1_Rank13', 'last_begin_time': 0.20489999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -21.24999999999974, 'time': 0.2065999999999999, 'flow_id': 'DATA_B2a_DP3_PP0_TP0_Rank3_Rank15', 'last_begin_time': 0.20489999999999992, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 21.24999999999974}
{'error': 'remaining_size less than 0', 'new_remaining_size': -27.499999999999623, 'time': 0.2141999999999999, 'flow_id': 'DATA_F7b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.2122999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 47.49999999999962}
{'error': 'remaining_size less than 0', 'new_remaining_size': -27.499999999999623, 'time': 0.2141999999999999, 'flow_id': 'DATA_F7b_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.2122999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 47.49999999999962}
{'error': 'remaining_size less than 0', 'new_remaining_size': -27.499999999999623, 'time': 0.2141999999999999, 'flow_id': 'DATA_F7b_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.2122999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 47.49999999999962}
{'error': 'remaining_size less than 0', 'new_remaining_size': -27.499999999999623, 'time': 0.2141999999999999, 'flow_id': 'DATA_F7b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.2122999999999999, 'rate': 200000.0, 'remaining_size': 20.0, 'transferred': 47.49999999999962}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.25000000000029, 'time': 0.2154999999999999, 'flow_id': 'DATA_F7b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.2141999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.25000000000029}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.25000000000029, 'time': 0.2154999999999999, 'flow_id': 'DATA_F7b_DP3_PP1_TP0_Rank7_Rank11', 'last_begin_time': 0.2141999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.25000000000029}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.25000000000029, 'time': 0.2154999999999999, 'flow_id': 'DATA_F7b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.2141999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.25000000000029}
{'error': 'remaining_size less than 0', 'new_remaining_size': -16.25000000000029, 'time': 0.2154999999999999, 'flow_id': 'DATA_F7b_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.2141999999999999, 'rate': 100000.0, 'remaining_size': 0, 'transferred': 16.25000000000029}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.58333333333306, 'time': 0.21604999999999988, 'flow_id': 'DATA_F7b_DP1_PP1_TP0_Rank5_Rank9', 'last_begin_time': 0.2154999999999999, 'rate': 66666.66666666667, 'remaining_size': 0.0, 'transferred': 4.58333333333306}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.58333333333306, 'time': 0.21604999999999988, 'flow_id': 'DATA_F7b_DP2_PP1_TP0_Rank6_Rank10', 'last_begin_time': 0.2154999999999999, 'rate': 66666.66666666667, 'remaining_size': 0, 'transferred': 4.58333333333306}
{'error': 'remaining_size less than 0', 'new_remaining_size': -4.58333333333306, 'time': 0.21604999999999988, 'flow_id': 'DATA_F7b_DP0_PP1_TP0_Rank4_Rank8', 'last_begin_time': 0.2154999999999999, 'rate': 66666.66666666667, 'remaining_size': 0, 'transferred': 4.58333333333306}
