{'flow_id': 'DATA_F3b_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F4b_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F5a_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F6a_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F7a_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B1a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F8a_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B2a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F5b_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B3a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F6b_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B4a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_F7b_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_F8b_DP1_PP0_TP0_Rank1_Rank5', 'latency': 0.1, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 0.9}
{'flow_id': 'DATA_B5a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_B6a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_B7a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
{'flow_id': 'DATA_B8a_DP1_PP0_TP0_Rank1_Rank13', 'latency': 2.2999999999999994, 'bandwidth': 200, 'flow_size': 20.0, 'standard_time': 3.0999999999999996}
