{'flow_id': 'DATA_F1b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.0529, 'end_time': 0.056, 'time': 3.0999999999999988}
{'flow_id': 'DATA_F4a_DP0_PP1_TP0_Rank4_Rank8', 'start_time': 0.06090000000000001, 'end_time': 0.06400000000000002, 'time': 3.1000000000000054}
{'flow_id': 'DATA_F4a_DP1_PP1_TP0_Rank5_Rank9', 'start_time': 0.06090000000000001, 'end_time': 0.06400000000000002, 'time': 3.1000000000000054}
{'flow_id': 'DATA_F4a_DP3_PP1_TP0_Rank7_Rank11', 'start_time': 0.06090000000000001, 'end_time': 0.06400000000000002, 'time': 3.1000000000000054}
{'flow_id': 'DATA_F4a_DP2_PP1_TP0_Rank6_Rank10', 'start_time': 0.06090000000000001, 'end_time': 0.06400000000000002, 'time': 3.1000000000000054}
{'flow_id': 'DATA_F3a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.06400000000000002, 'end_time': 0.06490000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.06400000000000002, 'end_time': 0.06490000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.06400000000000002, 'end_time': 0.06490000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F3a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.06400000000000002, 'end_time': 0.06490000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F2b_DP1_PP3_TP0_Rank13_Rank1', 'start_time': 0.06490000000000001, 'end_time': 0.068, 'time': 3.0999999999999917}
{'flow_id': 'DATA_F2b_DP3_PP3_TP0_Rank15_Rank3', 'start_time': 0.06490000000000001, 'end_time': 0.068, 'time': 3.0999999999999917}
{'flow_id': 'DATA_F2b_DP2_PP3_TP0_Rank14_Rank2', 'start_time': 0.06490000000000001, 'end_time': 0.068, 'time': 3.0999999999999917}
{'flow_id': 'DATA_F2b_DP0_PP3_TP0_Rank12_Rank0', 'start_time': 0.06490000000000001, 'end_time': 0.068, 'time': 3.0999999999999917}
{'flow_id': 'DATA_F1b_DP1_PP0_TP0_Rank1_Rank5', 'start_time': 0.068, 'end_time': 0.0689, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1b_DP3_PP0_TP0_Rank3_Rank7', 'start_time': 0.068, 'end_time': 0.0689, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1b_DP0_PP0_TP0_Rank0_Rank4', 'start_time': 0.068, 'end_time': 0.0689, 'time': 0.899999999999998}
{'flow_id': 'DATA_F1b_DP2_PP0_TP0_Rank2_Rank6', 'start_time': 0.068, 'end_time': 0.0689, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP0_PP2_TP0_Rank8_Rank12', 'start_time': 0.07600000000000001, 'end_time': 0.07690000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP3_PP2_TP0_Rank11_Rank15', 'start_time': 0.07600000000000001, 'end_time': 0.07690000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP1_PP2_TP0_Rank9_Rank13', 'start_time': 0.07600000000000001, 'end_time': 0.07690000000000001, 'time': 0.899999999999998}
{'flow_id': 'DATA_F4a_DP2_PP2_TP0_Rank10_Rank14', 'start_time': 0.07600000000000001, 'end_time': 0.07690000000000001, 'time': 0.899999999999998}
